Restraunt,Ratings,Cuisine,Address,Sitting,Type,Delivery
Gupta ji restaurant,4.3,(284) · ₹1–200 · Indian,"C-459, Hastsal Rd, Near Sabzi Mandi",Dine-in·,Takeaway·,No-contact delivery
Patiaala House Restaurant in Delhi,4.6,(1.3T) · Indian,"548, Site 1, Mod, opposite 24 Seven",Dine-in·,Kerbside pickup·,No-contact delivery
Spice &Grill,5.0,(3) · Restaurant,"Shop no. 67, C Block Rd",Dine-in·,Takeaway·,Delivery
China Grill,4.2,(388) · ₹200–400 · Chinese,"shop no 08 ,site, 1",Dine-in·,Takeaway·,Delivery
Shri Hari Restaurant,4.5,(2) · Fast Food,"Shop No. Wz B 39, Main Najafgarh Road, Uttam Nagar, Nearr",Dine-in·,Takeaway,
saucy feel,5.0,(1) · Vegetarian,10,Dine-in·,Drive-through·,No-contact delivery
South Indian Cafe,4.2,(1.1T) · ₹1–200 · South Indian,"591site, 1",Dine-in·,Drive-through·,No-contact delivery
Sagar Ratna,4.0,(4T) · ₹200–400 · South Indian,"W) Metro Station, No.C-1, New Krishna Park Janakpuri",Dine-in·,Takeaway·,No-contact delivery
Crazy kitchen,4.1,(617) · ₹200–400 · Restaurant,"J-6, Arya Samaj Rd, near Muthoot Gold finance",Standard dining in flashy surrounds,,
Delhi 6 Restaurant Najafgarh,4.5,(11) · Indian,"J3GF+V3C, Najafgarh Rd",Dine-in·,Takeaway·,Delivery
Delhi Darbar Biryani Point,4.1,(2.2T) · ₹1–200 · Biryani,"B-234-235, Gali Number 4",Venue for biryanis & Indian staples,,
Himalaya Sagar Restaurant,3.6,(5.9T) · ₹200–400 · Vegetarian,"A-1, Ramchand Gehlot Marg",Dine-in·,Drive-through·,No-contact delivery
UD's Rasoi,3.5,(31) · ₹₹ · Restaurant,"DDA Market, AG-1/17",Dine-in·,Takeaway·,Delivery
ANANDAM,4.6,(10) · ₹1–200 · South Indian,Delhi,Dine-in·,Takeaway·,No-contact delivery
Sher E DiL | Restaurant & Party Hall,4.4,(301) · Indian,"Metro Pillar No.614, B-7, near Shankar Hospital",Dine-in·,Drive-through·,No-contact delivery
Punjabi Tadka,3.9,(152) · North Indian,"WZ - A1, Main Najafgarh Road, opp metro pillar 659, Uttam Nagar",Dine-in·,Takeaway·,Delivery
Metro Restaurant & Party Hall,3.7,(1.6T) · ₹₹ · Restaurant,"WZ-246B/9, Najafgarh Rd, Opposite Op-Metro Pillar No-655",Indian & Chinese dining or functions,,
Taj Chicken Corner ( T.C.C ),4.6,(38) · Chicken,"Near Metro Station, WZ-B-37, Najafgarh Chatrapati Shivaji Marg, Shivaji Marg",Dine-in·,Takeaway,
Shree Shyam Rasoi,4.4,(70) · ₹1–200 · Restaurant,"Ram Dutt Enclave, NearEast Metro Station, B36 A",Dine-in·,Takeaway·,Delivery
Shakun Family Restaurant,4.3,(12) · Family-friendly,"200,Nawada Village,Pillor No.728, Gate, No.2, School Road, Najafgarh Rd",Dine-in·,Takeaway,
